delito,CATEGORÍA DE DELITO,DICCIONARIO,
ABANDONO DE PERSONA,DELITO DE BAJO IMPACTO,DELITOS FAMILIARES,
ABORTO,DELITO DE BAJO IMPACTO,OTROS,
ABUSO DE AUTORIDAD,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
ABUSO SEXUAL,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
ACOSO SEXUAL,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
ALLANAMIENTO DE MORADA,DELITO DE BAJO IMPACTO,OTROS,
AMENAZAS,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
ASOCIACION DELICTUOSA,DELITO DE BAJO IMPACTO,ASOCIACIÓN DELICTIVA,
ATAQUE A LAS VIAS DE COMUNICACION (DA√ëO A VIAS O MEDIOS DE TRANSPORTE),DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
ATAQUE A LAS VIAS GENERALES DE COMUNICACI√ìN,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
ATAQUES A LA PAZ PUBLICA,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
BIGAMIA,DELITO DE BAJO IMPACTO,DELITOS FAMILIARES,
CALUMNIAS,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
CAMBIO DE USO DE SUELO,DELITO DE BAJO IMPACTO,OTROS,
COACCION DE SERVIDORES PUBLICOS,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
COBRANZA ILEGITIMA,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
COHECHO,DELITO DE BAJO IMPACTO,ASOCIACIÓN DELICTIVA,
CONCUSION,DELITO DE BAJO IMPACTO,OTROS,
CONTAGIO VENEREO,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
CONTAMINACI√ìN O RESIDUOS,DELITO DE BAJO IMPACTO,DELITOS AMBIENTALES,
